EMP_ID, COMPANY, MONTH, DAY, HOURS_WORKED, WAGE_PER_HOUR, DAILY_WAGE, WORK_DAYS
1, infin, Mar, 2, 0, 50, 0, 15
1, infin, Mar, 3, 0, 50, 0, 15
1, infin, Mar, 4, 4, 50, 200, 15
1, infin, Mar, 5, 0, 50, 0, 15
1, infin, Mar, 6, 0, 50, 0, 15
1, infin, Mar, 7, 4, 50, 200, 15
1, infin, Mar, 8, 0, 50, 0, 15
1, infin, Mar, 9, 0, 50, 0, 15
1, infin, Mar, 10, 0, 50, 0, 15
1, infin, Mar, 11, 0, 50, 0, 15
1, infin, Mar, 12, 0, 50, 0, 15
1, infin, Mar, 13, 8, 50, 400, 15
1, infin, Mar, 14, 0, 50, 0, 15
1, infin, Mar, 15, 0, 50, 0, 15
2, infin, Mar, 1, 4, 50, 200, 15
2, infin, Mar, 2, 0, 50, 0, 15
2, infin, Mar, 3, 0, 50, 0, 15
2, infin, Mar, 4, 4, 50, 200, 15
2, infin, Mar, 5, 0, 50, 0, 15
2, infin, Mar, 6, 0, 50, 0, 15
2, infin, Mar, 7, 4, 50, 200, 15
2, infin, Mar, 8, 0, 50, 0, 15
2, infin, Mar, 9, 0, 50, 0, 15
2, infin, Mar, 10, 0, 50, 0, 15
2, infin, Mar, 11, 0, 50, 0, 15
2, infin, Mar, 12, 0, 50, 0, 15
2, infin, Mar, 13, 8, 50, 400, 15
2, infin, Mar, 14, 0, 50, 0, 15
2, infin, Mar, 15, 0, 50, 0, 15
1, infin, Apr, 1, 4, 50, 200, 15
1, infin, Apr, 2, 0, 50, 0, 15
1, infin, Apr, 3, 0, 50, 0, 15
1, infin, Apr, 4, 0, 50, 0, 15
1, infin, Apr, 5, 8, 50, 400, 15
1, infin, Apr, 6, 0, 50, 0, 15
1, infin, Apr, 7, 8, 50, 400, 15
1, infin, Apr, 8, 0, 50, 0, 15
1, infin, Apr, 9, 0, 50, 0, 15
1, infin, Apr, 10, 0, 50, 0, 15
1, infin, Apr, 11, 0, 50, 0, 15
1, infin, Apr, 12, 4, 50, 200, 15
1, infin, Apr, 13, 0, 50, 0, 15
1, infin, Apr, 14, 0, 50, 0, 15
1, infin, Apr, 15, 0, 50, 0, 15
2, infin, Apr, 1, 4, 50, 200, 15
2, infin, Apr, 2, 0, 50, 0, 15
2, infin, Apr, 3, 0, 50, 0, 15
2, infin, Apr, 4, 0, 50, 0, 15
2, infin, Apr, 5, 8, 50, 400, 15
2, infin, Apr, 6, 0, 50, 0, 15
2, infin, Apr, 7, 8, 50, 400, 15
2, infin, Apr, 8, 0, 50, 0, 15
2, infin, Apr, 9, 0, 50, 0, 15
2, infin, Apr, 10, 0, 50, 0, 15
2, infin, Apr, 11, 0, 50, 0, 15
2, infin, Apr, 12, 4, 50, 200, 15
2, infin, Apr, 13, 0, 50, 0, 15
2, infin, Apr, 14, 0, 50, 0, 15
2, infin, Apr, 15, 0, 50, 0, 15
1, wipro, Jan, 1, 0, 200, 0, 10
1, wipro, Jan, 2, 8, 200, 1600, 10
1, wipro, Jan, 3, 0, 200, 0, 10
1, wipro, Jan, 4, 0, 200, 0, 10
1, wipro, Jan, 5, 0, 200, 0, 10
1, wipro, Jan, 6, 0, 200, 0, 10
1, wipro, Jan, 7, 0, 200, 0, 10
1, wipro, Jan, 8, 0, 200, 0, 10
1, wipro, Jan, 9, 0, 200, 0, 10
1, wipro, Jan, 10, 4, 200, 800, 10
2, wipro, Jan, 1, 0, 200, 0, 10
2, wipro, Jan, 2, 8, 200, 1600, 10
2, wipro, Jan, 3, 0, 200, 0, 10
2, wipro, Jan, 4, 0, 200, 0, 10
2, wipro, Jan, 5, 0, 200, 0, 10
2, wipro, Jan, 6, 0, 200, 0, 10
2, wipro, Jan, 7, 0, 200, 0, 10
2, wipro, Jan, 8, 0, 200, 0, 10
2, wipro, Jan, 9, 0, 200, 0, 10
2, wipro, Jan, 10, 4, 200, 800, 10
1, wipro, Feb, 1, 0, 200, 0, 10
1, wipro, Feb, 2, 0, 200, 0, 10
1, wipro, Feb, 3, 0, 200, 0, 10
1, wipro, Feb, 4, 8, 200, 1600, 10
1, wipro, Feb, 5, 4, 200, 800, 10
1, wipro, Feb, 6, 0, 200, 0, 10
1, wipro, Feb, 7, 0, 200, 0, 10
1, wipro, Feb, 8, 0, 200, 0, 10
1, wipro, Feb, 9, 0, 200, 0, 10
1, wipro, Feb, 10, 0, 200, 0, 10
2, wipro, Feb, 1, 0, 200, 0, 10
2, wipro, Feb, 2, 0, 200, 0, 10
2, wipro, Feb, 3, 0, 200, 0, 10
2, wipro, Feb, 4, 8, 200, 1600, 10
2, wipro, Feb, 5, 4, 200, 800, 10
2, wipro, Feb, 6, 0, 200, 0, 10
2, wipro, Feb, 7, 0, 200, 0, 10
2, wipro, Feb, 8, 0, 200, 0, 10
2, wipro, Feb, 9, 0, 200, 0, 10
2, wipro, Feb, 10, 0, 200, 0, 10
1, wipro, Mar, 1, 0, 200, 0, 10
1, wipro, Mar, 2, 8, 200, 1600, 10
1, wipro, Mar, 3, 0, 200, 0, 10
1, wipro, Mar, 4, 0, 200, 0, 10
1, wipro, Mar, 5, 0, 200, 0, 10
1, wipro, Mar, 6, 0, 200, 0, 10
1, wipro, Mar, 7, 0, 200, 0, 10
1, wipro, Mar, 8, 4, 200, 800, 10
1, wipro, Mar, 9, 8, 200, 1600, 10
1, wipro, Mar, 10, 4, 200, 800, 10
2, wipro, Mar, 1, 0, 200, 0, 10
2, wipro, Mar, 2, 8, 200, 1600, 10
2, wipro, Mar, 3, 0, 200, 0, 10
2, wipro, Mar, 4, 0, 200, 0, 10
2, wipro, Mar, 5, 0, 200, 0, 10
2, wipro, Mar, 6, 0, 200, 0, 10
2, wipro, Mar, 7, 0, 200, 0, 10
2, wipro, Mar, 8, 4, 200, 800, 10
2, wipro, Mar, 9, 8, 200, 1600, 10
2, wipro, Mar, 10, 4, 200, 800, 10
1, wipro, Apr, 1, 0, 200, 0, 10
1, wipro, Apr, 2, 4, 200, 800, 10
1, wipro, Apr, 3, 8, 200, 1600, 10
1, wipro, Apr, 4, 0, 200, 0, 10
1, wipro, Apr, 5, 0, 200, 0, 10
1, wipro, Apr, 6, 0, 200, 0, 10
1, wipro, Apr, 7, 8, 200, 1600, 10
1, wipro, Apr, 8, 8, 200, 1600, 10
1, wipro, Apr, 9, 0, 200, 0, 10
1, wipro, Apr, 10, 0, 200, 0, 10
2, wipro, Apr, 1, 0, 200, 0, 10
2, wipro, Apr, 2, 4, 200, 800, 10
2, wipro, Apr, 3, 8, 200, 1600, 10
2, wipro, Apr, 4, 0, 200, 0, 10
2, wipro, Apr, 5, 0, 200, 0, 10
2, wipro, Apr, 6, 0, 200, 0, 10
2, wipro, Apr, 7, 8, 200, 1600, 10
2, wipro, Apr, 8, 8, 200, 1600, 10
2, wipro, Apr, 9, 0, 200, 0, 10
2, wipro, Apr, 10, 0, 200, 0, 10
